"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[1,1]",-4.93486198519214,3.47385687136818,-11.7540098825965,-7.2612772554919,-4.94075119333368,-2.64507392741724,2.04874015730073,1.00002739957209,15000,1,0.9232
"BB[2,1]",-3.84873222834584,3.2854584192893,-10.2253533490145,-6.04095469422673,-3.89052564440129,-1.67209757580993,2.67838837384293,1.0001783438387,10139,1,0.8814
"BB[3,1]",-3.23162729986109,2.90192583753527,-8.78342613698203,-5.2215868130906,-3.26623436343024,-1.30967262548953,2.6097574664383,1.00056585342616,3596,1,0.866333333333333
"BB[4,1]",-6.72972593103329,3.1756587481122,-13.0236265715282,-8.81430257482985,-6.74546416424099,-4.6726747554485,-0.461108049816863,1.00004446798409,15000,0,0.9822
"BB[5,1]",-6.32543815217131,3.77308568578485,-13.8343941619687,-8.83260143401656,-6.28103445520536,-3.78478069192925,1.03785882183879,1.00008513552963,15000,1,0.955666666666667
"BB[6,1]",-3.32040600461146,3.53308242526541,-10.1322107160398,-5.66315943820243,-3.34138817723314,-1.02497193682349,3.86527725832696,1.00004914767804,15000,1,0.8312
"BB[7,1]",-6.44122523736206,3.09045196110815,-12.5433339216658,-8.46952731866532,-6.44126643048011,-4.39004058301956,-0.4338487431753,0.999966170537969,15000,0,0.9824
"BB[8,1]",-1.5622194199525,3.10477741256963,-7.41987916354628,-3.67099302924946,-1.59780435606277,0.46924828336811,4.74438505373483,1.00022633515381,7545,1,0.698733333333333
"BB[9,1]",-5.4758392882299,2.85227066994088,-11.0918170527045,-7.38558378248615,-5.44471507582561,-3.5696707850802,0.100553089762378,1.00030641443275,7285,1,0.972933333333333
"BB[10,1]",-4.94915831086796,3.64775112547917,-12.0782470213874,-7.37427044003933,-4.94332648130833,-2.52011247457772,2.2795240622288,1.00029130918183,7173,1,0.914533333333333
"BB[11,1]",-2.62584124860868,2.919384930083,-8.13808085121689,-4.62768357106189,-2.66815967468426,-0.703922072747819,3.30346314198938,1.0001337501008,11582,1,0.819466666666667
"BB[12,1]",-8.85009567219826,4.04214654621325,-17.0659640458581,-11.5033243051828,-8.71409579382804,-6.13273718169348,-1.1897319713033,1.00051411946806,7757,0,0.988733333333333
"BB[13,1]",-5.73513538765692,3.37858460372194,-12.404477435335,-7.98109232872663,-5.75291528453684,-3.47662266795076,0.880097454305089,1.00006530545826,15000,1,0.955866666666667
"BB[14,1]",-6.12555449726389,3.17815089618241,-12.5044505637837,-8.20793223866121,-6.10382933206347,-4.02303161867771,0.0603956324134756,1.00023812615708,5981,1,0.9736
"BB[15,1]",-4.47403875823835,3.13054473965818,-10.5673825451342,-6.58656399004349,-4.49500921719244,-2.39867924663963,1.7390866394915,1.00004763806048,15000,1,0.921866666666667
"BB[16,1]",-3.9188884569803,3.10296111503513,-9.98057565919061,-6.00573624714719,-3.96046213991654,-1.86298500212054,2.28743124582722,1.00039793322419,5399,1,0.895733333333333
