"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[1,1]",-3.43287693392505,2.88812349922106,-9.06162114763204,-5.37453587873581,-3.45205781897676,-1.52107192047682,2.30871024927965,1.00048090153139,4481,1,0.8836
"BB[2,1]",-6.81021933112235,3.25576237434106,-13.1495041854197,-8.98391909181409,-6.79633983929724,-4.66584479394367,-0.373012012543599,1.00122268513129,1649,0,0.981066666666667
"BB[3,1]",-6.70385820839686,3.17416564287761,-13.0050513876448,-8.83702826638132,-6.66867002131997,-4.56418769841763,-0.508083619646489,1.00016856525839,11686,0,0.983266666666667
"BB[4,1]",-1.58401805799012,3.14711913147124,-7.62346557850608,-3.72389207229355,-1.60883064977702,0.520787360676414,4.65654202990135,1.00081517379282,2415,1,0.694133333333333
"BB[5,1]",-4.87453013917971,2.90201692980134,-10.5382744617719,-6.79337320966729,-4.87804732602355,-2.96238456263253,0.843664173796167,1.00039315939695,15000,1,0.952533333333333
"BB[6,1]",-2.82928149575692,2.90893801562429,-8.48346380351106,-4.78952819069991,-2.85846023424822,-0.905575266147454,2.94593670216919,1.00016118227891,14008,1,0.836133333333333
"BB[7,1]",-9.29130461747139,4.06542843810595,-17.4814298917398,-11.9285692729539,-9.21630232597125,-6.52124720451257,-1.58014808584167,1.00078607997195,3240,0,0.990933333333333
"BB[8,1]",-6.0435556839306,3.39441571164419,-12.7854196932945,-8.33827216470076,-6.04036696261109,-3.75354558609919,0.686561309219202,1.00037298789257,4505,1,0.961533333333333
"BB[9,1]",-6.16859233365501,3.23636786358804,-12.4875857034923,-8.32385184560617,-6.15424510939481,-4.00105054016348,0.214942976075809,1.00000385018224,15000,1,0.970133333333333
"BB[10,1]",-4.8143272819666,3.19521312296074,-11.0385092895894,-6.95856936130491,-4.83789518042885,-2.71261134157433,1.53224164605596,1.00015685220079,12978,1,0.933666666666667
"BB[11,1]",-4.22987128776242,3.10337706745992,-10.3205343386351,-6.29173244005916,-4.23965405570318,-2.16966764067388,1.9218361202482,1.0001727513558,15000,1,0.9118
