"","lagoslakeid","var","slopeProbs","slopeSign","slopemean","pctchg","pptpctchg","so4changepct","hu12_dep_no3_2000_mean","hu12_runoff_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_baseflowindex_mean","nhd_lat","nhd_long","wetlands","agri","urban","maxdepth","lake_area_ha"
"1","100566","color",0.865133333333333,1,0.0379133362655075,3.79133362655075,50.9920821088399,NA,NA,NA,NA,NA,NA,45.288456,-70.783217,15.84,0,0,NA,7.648482876
"2","100566","doc",0.817466666666667,1,0.01293198244896,1.293198244896,82.5233026427693,NA,NA,NA,NA,NA,NA,45.288456,-70.783217,15.84,0,0,NA,7.648482876
"3","100567","color",0.7406,1,0.0142206342593699,1.42206342593699,26.7587852412027,-61.5953798953257,11.9403,28.5731,1497.0531,3.4105,44.3396,44.804557,-70.578633,NA,NA,NA,NA,2.358525965
"4","100567","doc",0.958466666666667,1,0.0148532010030093,1.48532010030093,19.7461112222721,-61.5953798953257,11.9403,28.5731,1497.0531,3.4105,44.3396,44.804557,-70.578633,NA,NA,NA,NA,2.358525965
"5","100953","color",0.999266666666667,1,0.0480189600081789,4.80189600081789,20.2711970551864,-74.9947870329182,20.9532,30.7572,1256.7659,4.6849,55.403,43.712164,-74.798791,15.57,0,0,21.9,188.01377
"6","100953","doc",0.987866666666667,1,0.0127012131074644,1.27012131074644,93.3689633980709,-74.9947870329182,20.9532,30.7572,1256.7659,4.6849,55.403,43.712164,-74.798791,15.57,0,0,21.9,188.01377
"7","102295","doc",0.9948,1,0.0241184328966324,2.41184328966324,136.454813815805,-63.8531525266574,10.0073,13.4189,786.8352,4.3433,69.8052,45.985618,-89.380106,23.54,0,0,7.7,13.09974099
"8","102295","color",1,0,-0.103687227026356,-10.3687227026356,36.7719205977998,-63.8531525266574,10.0073,13.4189,786.8352,4.3433,69.8052,45.985618,-89.380106,23.54,0,0,7.7,13.09974099
"9","1023","doc",0.501866666666667,0,-8.07430901978467e-05,-0.00807430901978467,41.6058292795578,-55.3679905067286,12.2914,25.9972,1406.9014,7.5813,49.9688,44.331243,-68.255282,1.33,0,1.14,45.72,75.50267183
"10","102610","color",0.5936,0,-0.00444717108256122,-0.444717108256122,17.7742347580993,-64.4100668278117,10.6899,26.7002,1326.2783,3.0172,44.566,44.919558,-70.513844,NA,NA,NA,NA,1.517148529
"11","102610","doc",0.593266666666667,0,-0.00181631761246299,-0.181631761246299,5.90638863459121,-64.4100668278117,10.6899,26.7002,1326.2783,3.0172,44.566,44.919558,-70.513844,NA,NA,NA,NA,1.517148529
"12","10331","doc",0.813533333333333,1,0.011080686789598,1.1080686789598,17.766881875511,-69.0717570842194,11.6078,17.801,808.3484,4.9194,72.1053,46.470262,-85.701951,4.52,0,0,4.5,39.50147091
"13","10331","color",0.997133333333333,0,-0.0795291474496937,-7.95291474496937,17.3846683365161,-69.0717570842194,11.6078,17.801,808.3484,4.9194,72.1053,46.470262,-85.701951,4.52,0,0,4.5,39.50147091
